filename	sequence_id	organism_name	strain_description	full_description
GCF_014169215.1_ASM1416921v1_genomic.fna	NZ_AP022108.1	Klebsiella aerogenes	strain WP5-W18-CRE-01 chromosome, complete genome	NZ_AP022108.1 Klebsiella aerogenes strain WP5-W18-CRE-01 chromosome, complete genome
GCF_019048885.1_ASM1904888v1_genomic.fna	NZ_CP077429.1	Klebsiella aerogenes	strain NTT31XS chromosome NTT31XS-1, complete sequence	NZ_CP077429.1 Klebsiella aerogenes strain NTT31XS chromosome NTT31XS-1, complete sequence
GCF_001559215.2_ASM155921v2_genomic.fna	NZ_CP014029.2	Klebsiella aerogenes	strain FDAARGOS_152 chromosome, complete genome	NZ_CP014029.2 Klebsiella aerogenes strain FDAARGOS_152 chromosome, complete genome
GCF_019931695.1_ASM1993169v1_genomic.fna	NZ_CP082898.1	Klebsiella aerogenes	strain KAE3SP chromosome, complete genome	NZ_CP082898.1 Klebsiella aerogenes strain KAE3SP chromosome, complete genome
GCA_009937725.1_ASM993772v1_genomic.fna	CP047259.1	Klebsiella aerogenes	strain N1 chromosome, complete genome	CP047259.1 Klebsiella aerogenes strain N1 chromosome, complete genome
GCF_010509815.1_ASM1050981v1_genomic.fna	NZ_CP048598.1	Klebsiella aerogenes	strain AUH-KAM-9 chromosome, complete genome	NZ_CP048598.1 Klebsiella aerogenes strain AUH-KAM-9 chromosome, complete genome
GCF_008931665.1_ASM893166v1_genomic.fna	NZ_CP042530.1	Klebsiella aerogenes	strain C9 chromosome, complete genome	NZ_CP042530.1 Klebsiella aerogenes strain C9 chromosome, complete genome
GCF_002796425.1_ASM279642v1_genomic.fna	NZ_CP024883.1	Klebsiella aerogenes	strain AR_0007 chromosome, complete genome	NZ_CP024883.1 Klebsiella aerogenes strain AR_0007 chromosome, complete genome
GCF_007632255.1_ASM763225v1_genomic.fna	NZ_CP041925.1	Klebsiella aerogenes	strain Ka37751 chromosome, complete genome	NZ_CP041925.1 Klebsiella aerogenes strain Ka37751 chromosome, complete genome
GCF_002796405.1_ASM279640v1_genomic.fna	NZ_CP024880.1	Klebsiella aerogenes	strain AR_0018 chromosome, complete genome	NZ_CP024880.1 Klebsiella aerogenes strain AR_0018 chromosome, complete genome
GCF_011604725.1_ASM1160472v1_genomic.fna	NZ_CP050067.1	Klebsiella aerogenes	strain 035 chromosome, complete genome	NZ_CP050067.1 Klebsiella aerogenes strain 035 chromosome, complete genome
GCF_016939495.1_ASM1693949v1_genomic.fna	NZ_CP070520.1	Klebsiella aerogenes	strain EA46506 chromosome, complete genome	NZ_CP070520.1 Klebsiella aerogenes strain EA46506 chromosome, complete genome
GCF_018388785.1_ASM1838878v1_genomic.fna	NZ_CP074437.1	Klebsiella sp	. A52 chromosome, complete genome	NZ_CP074437.1 Klebsiella sp. A52 chromosome, complete genome
GCF_001593585.2_ASM159358v2_genomic.fna	NZ_CP014748.2	Klebsiella aerogenes	strain FDAARGOS_139 chromosome, complete genome	NZ_CP014748.2 Klebsiella aerogenes strain FDAARGOS_139 chromosome, complete genome
GCF_900637945.1_53421_E01_genomic.fna	NZ_LR134475.1	Klebsiella aerogenes	strain NCTC9735 chromosome 1, complete sequence	NZ_LR134475.1 Klebsiella aerogenes strain NCTC9735 chromosome 1, complete sequence
GCF_001021995.1_ASM102199v1_genomic.fna	NZ_CP011574.1	Klebsiella aerogenes	strain CAV1320 chromosome, complete genome	NZ_CP011574.1 Klebsiella aerogenes strain CAV1320 chromosome, complete genome
GCF_002796525.1_ASM279652v1_genomic.fna	NZ_CP024885.1	Klebsiella aerogenes	strain AR_0009 chromosome, complete genome	NZ_CP024885.1 Klebsiella aerogenes strain AR_0009 chromosome, complete genome
GCF_027595505.1_ASM2759550v1_genomic.fna	NZ_CP074446.1	Klebsiella aerogenes	strain S2_CRE2 chromosome, complete genome	NZ_CP074446.1 Klebsiella aerogenes strain S2_CRE2 chromosome, complete genome
GCF_022700775.1_ASM2270077v1_genomic.fna	NZ_CP063955.1	Klebsiella aerogenes	strain S148-1 chromosome, complete genome	NZ_CP063955.1 Klebsiella aerogenes strain S148-1 chromosome, complete genome
GCF_008693885.1_ASM869388v1_genomic.fna	NZ_CP044083.1	Klebsiella aerogenes	strain FDAARGOS_641 chromosome, complete genome	NZ_CP044083.1 Klebsiella aerogenes strain FDAARGOS_641 chromosome, complete genome
GCF_003546885.1_ASM354688v1_genomic.fna	NZ_CP031756.1	Klebsiella aerogenes	strain FDAARGOS_327 chromosome, complete genome	NZ_CP031756.1 Klebsiella aerogenes strain FDAARGOS_327 chromosome, complete genome
GCF_029717585.1_ASM2971758v1_genomic.fna	NZ_CP099260.1	Klebsiella aerogenes	strain RHB08-SO-C04 chromosome, complete genome	NZ_CP099260.1 Klebsiella aerogenes strain RHB08-SO-C04 chromosome, complete genome
GCF_002948835.2_ASM294883v2_genomic.fna	NZ_CP026756.1	Klebsiella aerogenes	strain AR_0062 chromosome, complete genome	NZ_CP026756.1 Klebsiella aerogenes strain AR_0062 chromosome, complete genome
GCF_006874725.1_ASM687472v1_genomic.fna	NZ_CP035466.1	Klebsiella aerogenes	strain LU2 chromosome, complete genome	NZ_CP035466.1 Klebsiella aerogenes strain LU2 chromosome, complete genome
GCF_022759605.1_ASM2275960v1_genomic.fna	NZ_CP094280.1	Klebsiella aerogenes	strain NY1464 chromosome, complete genome	NZ_CP094280.1 Klebsiella aerogenes strain NY1464 chromosome, complete genome
GCF_905333855.2_AI2913v1_cp_genomic.fna	NZ_OW969633.1	Klebsiella aerogenes	isolate 57 chromosome main, complete sequence	NZ_OW969633.1 Klebsiella aerogenes isolate 57 chromosome main, complete sequence
GCF_019047925.1_ASM1904792v1_genomic.fna	NZ_CP077265.1	Klebsiella aerogenes	strain FDAARGOS 1441 chromosome, complete genome	NZ_CP077265.1 Klebsiella aerogenes strain FDAARGOS 1441 chromosome, complete genome
GCA_024918355.1_ASM2491835v1_genomic.fna	CP103664.1	Klebsiella aerogenes	strain 4417 chromosome, complete genome	CP103664.1 Klebsiella aerogenes strain 4417 chromosome, complete genome
GCF_000334515.1_ASM33451v1_genomic.fna	NC_020181.1	Klebsiella aerogenes	EA1509E, complete sequence	NC_020181.1 Klebsiella aerogenes EA1509E, complete sequence
GCF_002591115.1_ASM259111v1_genomic.fna	NZ_CP023963.1	Klebsiella aerogenes	strain FDAARGOS_363 chromosome, complete genome	NZ_CP023963.1 Klebsiella aerogenes strain FDAARGOS_363 chromosome, complete genome
GCF_024917575.1_ASM2491757v1_genomic.fna	NZ_CP103639.1	Klebsiella aerogenes	strain 722 chromosome, complete genome	NZ_CP103639.1 Klebsiella aerogenes strain 722 chromosome, complete genome
GCF_009909445.1_ASM990944v1_genomic.fna	NZ_CP047669.1	Klebsiella aerogenes	strain HNHF1 chromosome, complete genome	NZ_CP047669.1 Klebsiella aerogenes strain HNHF1 chromosome, complete genome
GCA_003071285.1_ASM307128v1_genomic.fna	CP028951.1	Klebsiella aerogenes	strain AR_0161 chromosome, complete genome	CP028951.1 Klebsiella aerogenes strain AR_0161 chromosome, complete genome
GCF_000215745.1_ASM21574v1_genomic.fna	NC_015663.1	Klebsiella aerogenes	KCTC 2190, complete sequence	NC_015663.1 Klebsiella aerogenes KCTC 2190, complete sequence
GCF_024661995.1_ASM2466199v1_genomic.fna	NZ_CP102479.1	Klebsiella aerogenes	strain TS2020 chromosome, complete genome	NZ_CP102479.1 Klebsiella aerogenes strain TS2020 chromosome, complete genome
GCF_001571545.2_ASM157154v2_genomic.fna	NZ_CP011539.1	Klebsiella aerogenes	strain G7 chromosome, complete genome	NZ_CP011539.1 Klebsiella aerogenes strain G7 chromosome, complete genome
GCF_022759585.1_ASM2275958v1_genomic.fna	NZ_CP094272.1	Klebsiella aerogenes	strain NY1688 chromosome cNY1688, complete sequence	NZ_CP094272.1 Klebsiella aerogenes strain NY1688 chromosome cNY1688, complete sequence
GCF_011067245.1_ASM1106724v1_genomic.fna	NZ_CP049600.1	Klebsiella aerogenes	strain 18-2341 chromosome, complete genome	NZ_CP049600.1 Klebsiella aerogenes strain 18-2341 chromosome, complete genome
GCA_008727695.1_ASM872769v1_genomic.fna	CP044214.1	Klebsiella aerogenes	strain KA_P10_L5_03.19 chromosome, complete genome	CP044214.1 Klebsiella aerogenes strain KA_P10_L5_03.19 chromosome, complete genome
GCF_003812185.1_ASM381218v1_genomic.fna	NZ_CP033817.1	Klebsiella aerogenes	strain FDAARGOS_513 chromosome, complete genome	NZ_CP033817.1 Klebsiella aerogenes strain FDAARGOS_513 chromosome, complete genome
GCF_013403435.2_ASM1340343v2_genomic.fna	NZ_CP118332.1	Klebsiella aerogenes	strain IIIF7SW-P1 chromosome, complete genome	NZ_CP118332.1 Klebsiella aerogenes strain IIIF7SW-P1 chromosome, complete genome
GCF_019048125.1_ASM1904812v1_genomic.fna	NZ_CP077293.1	Klebsiella aerogenes	strain FDAARGOS 1442 chromosome, complete genome	NZ_CP077293.1 Klebsiella aerogenes strain FDAARGOS 1442 chromosome, complete genome
GCF_027595705.1_ASM2759570v1_genomic.fna	NZ_CP074545.1	Klebsiella aerogenes	strain S33_CRE34 chromosome, complete genome	NZ_CP074545.1 Klebsiella aerogenes strain S33_CRE34 chromosome, complete genome
GCF_013727635.1_ASM1372763v1_genomic.fna	NZ_CP056260.1	Klebsiella aerogenes	strain RHBSTW-00898 chromosome, complete genome	NZ_CP056260.1 Klebsiella aerogenes strain RHBSTW-00898 chromosome, complete genome
GCF_009732815.1_ASM973281v1_genomic.fna	NZ_CP045869.1	Klebsiella aerogenes	strain Y3 chromosome, complete genome	NZ_CP045869.1 Klebsiella aerogenes strain Y3 chromosome, complete genome
GCF_904863085.1_MINF_10B_genomic.fna	NZ_LR890184.1	Klebsiella aerogenes	isolate MINF_10B-sc-2280448 chromosome 1, complete sequence	NZ_LR890184.1 Klebsiella aerogenes isolate MINF_10B-sc-2280448 chromosome 1, complete sequence
GCF_029717425.1_ASM2971742v1_genomic.fna	NZ_CP099252.1	Klebsiella aerogenes	strain RHB11-E1-C08 chromosome, complete genome	NZ_CP099252.1 Klebsiella aerogenes strain RHB11-E1-C08 chromosome, complete genome
GCF_009732835.1_ASM973283v1_genomic.fna	NZ_CP045870.1	Klebsiella aerogenes	strain Y1 chromosome, complete genome	NZ_CP045870.1 Klebsiella aerogenes strain Y1 chromosome, complete genome
GCF_009732795.1_ASM973279v1_genomic.fna	NZ_CP045868.1	Klebsiella aerogenes	strain Y6 chromosome, complete genome	NZ_CP045868.1 Klebsiella aerogenes strain Y6 chromosome, complete genome
GCA_900635435.1_28021_A02_genomic.fna	LR134121.1	Klebsiella aerogenes	strain NCTC10006 genome assembly, chromosome: 1	LR134121.1 Klebsiella aerogenes strain NCTC10006 genome assembly, chromosome: 1
